"lowobs","hiobs","probobs","firstdif","firstdifp","lastdif","lastdifp"
16,40,0.6,-9.69999999999999,0.0187848113666917,5.39999999999998,0.10177393639942
16,40,0.6,-9.80000000000001,0.0350195777491427,11.3,0.0334214143874848
16,40,0.6,-7.40000000000001,0.0232294722979533,11,0.0167337263894678
16,40,0.6,-8.80000000000001,0.150808895415638,7.39999999999998,0.00141392235243857
16,40,0.6,-7.59999999999999,0.0920993360320682,2.59999999999997,0.132511449518927
16,40,0.6,0.400000000000006,0.746567938517126,3.5,0.03837385275559
16,40,0.6,-10.4,0.0882579085517953,3.89999999999998,0.218290034615835
16,40,0.6,0,1,9.19999999999999,0.0333714685145911
16,40,0.6,-13.4,0.0117857808468845,7.19999999999999,0.155944966298009
16,40,0.6,-12.2,0.0230255990932555,11.5,0.0365118999226442
16,40,0.6,0.600000000000023,0.805290474510249,9.39999999999998,0.0261397240764958
16,40,0.6,-7.69999999999999,0.087001452079258,8.09999999999997,0.0217379960580331
16,40,0.6,-2.59999999999999,0.290504276588594,12.4,0.0149822382214821
16,40,0.6,0.800000000000011,0.848676512848928,14.3,0.00445996530615476
16,40,0.6,-2.40000000000001,0.0869747722915643,6.10000000000002,0.096764425295983
16,40,0.6,-3.59999999999999,0.193158623221446,7.39999999999998,0.0195002111504126
16,40,0.6,0.299999999999983,0.850846354750434,9.5,0.104244759670713
16,40,0.6,-6.90000000000001,0.0220593409797881,2.5,0.578947978605213
16,40,0.6,-8.5,0.0746350046482986,4.30000000000001,0.323117482047289
16,40,0.6,-2.69999999999999,0.26258860712248,7.20000000000005,0.0120928260153309
