"lat","lon","region","mnnumdays","logdays"
"47.9538","-122.2972","uss","1","0"
"47.9548","-122.2989","uss","1","0"
"47.9053","-122.375","uss","1.5","0.176091259055681"
"47.8161","-122.3958","uss","1","0"
"47.783","-122.3994","uss","1","0"
"47.8026","-122.4012","uss","1","0"
"47.6768","-122.4132","uss","1","0"
"47.881","-122.4592","uss","1","0"
"47.5249","-122.4852","uss","1","0"
"48.0443","-122.8689","uss","1.25","0.0969100130080564"
"48.1084","-122.9311","uss","1.28571428571429","0.109144469425068"
"48.1278","-123","uss","1","0"
"48.1122","-123.0208","uss","1","0"
"48.1222","-123.2778","uss","1","0"
"48.1196","-123.3064","uss","1","0"
"46.9275","-124.1285","uss","1","0"
"47.1517","-124.2543","uss","1","0"
"47.1007","-124.2701","uss","1","0"
"46.9448","-124.2828","uss","1","0"
"47.9043","-124.6388","uss","1","0"
"47.5829","-126.7662","uss","1","0"
